Resolution ID,Resolution Name,Year
A/RES/73/166,The right to development : resolution / adopted by the General Assembly,2018
A/RES/73/171,The right to food : resolution / adopted by the General Assembly,2018
A/RES/73/165,United Nations Declaration on the Rights of Peasants and Other People Working in Rural Areas : resolution / adopted by the General Assembly,2018
A/RES/73/170,Promotion of peace as a vital requirement for the full enjoyment of all human rights by all : resolution / adopted by the General Assembly,2018
A/RES/73/169,Promotion of a democratic and equitable international order : resolution / adopted by the General Assembly,2018
A/RES/72/246,Effects of terrorism on the enjoyment of human rights : resolution / adopted by the General Assembly,2017
A/RES/72/172,Promotion of a democratic and equitable international order : resolution / adopted by the General Assembly,2017
A/RES/72/167,The right to development : resolution / adopted by the General Assembly,2017
A/RES/72/164,Strengthening the role of the United Nations in enhancing periodic and genuine elections and the promotion of democratization : resolution / adopted by the General Assembly,2017
A/RES/72/185,Globalization and its impact on the full enjoyment of all human rights : resolution / adopted by the General Assembly,2017
A/RES/72/168,Human rights and unilateral coercive measures : resolution / adopted by the General Assembly,2017
A/RES/72/166,United Nations Human Rights Training and Documentation Centre for South-West Asia and the Arab Region : resolution / adopted by the General Assembly,2017
A/RES/72/174,Promotion of equitable geographical distribution in the membership of the human rights treaty bodies : resolution / adopted by the General Assembly,2017
A/RES/72/170,Human rights and cultural diversity : resolution / adopted by the General Assembly,2017
A/RES/72/173,The right to food : resolution / adopted by the General Assembly,2017
A/RES/72/178,The human rights to safe drinking water and sanitation : resolution / adopted by the General Assembly,2017
A/RES/71/193,Human rights and unilateral coercive measures : resolution / adopted by the General Assembly,2016
A/RES/71/190,Promotion of a democratic and equitable international order : resolution / adopted by the General Assembly,2016
A/RES/71/192,The right to development : resolution / adopted by the General Assembly,2016
A/RES/71/198,"Extrajudicial, summary or arbitrary executions : resolution / adopted by the General Assembly",2016
A/RES/71/189,Declaration on the Right to Peace : resolution / adopted by the General Assembly,2016
A/RES/71/197,Globalization and its impact on the full enjoyment of all human rights : resolution / adopted by the General Assembly,2016
A/RES/71/187,Moratorium on the use of the death penalty : resolution / adopted by the General Assembly,2016
A/RES/70/151,Human rights and unilateral coercive measures : resolution / adopted by the General Assembly,2015
A/RES/70/149,Promotion of a democratic and equitable international order : resolution / adopted by the General Assembly,2015
A/RES/70/152,Promotion of equitable geographical distribution in the membership of the human rights treaty bodies : resolution / adopted by the General Assembly,2015
A/RES/70/161,"Human rights defenders in the context of the Declaration on the Right and Responsibility of Individuals, Groups and Organs of Society to Promote and Protect Universally Recognized Human Rights and Fundamental Freedoms : resolution / adopted by the General Assembly",2015
A/RES/70/171,United Nations Human Rights Training and Documentation Centre for South-West Asia and the Arab Region : resolution / adopted by the General Assembly,2015
A/RES/70/156,Human rights and cultural diversity : resolution / adopted by the General Assembly,2015
A/RES/70/159,Globalization and its impact on the full enjoyment of all human rights : resolution / adopted by the General Assembly,2015
A/RES/70/168,Strengthening the role of the United Nations in enhancing periodic and genuine elections and the promotion of democratization : resolution / adopted by the General Assembly,2015
A/RES/70/155,The right to development : resolution / adopted by the General Assembly,2015
A/RES/69/186,Moratorium on the use of the death penalty : resolution / adopted by the General Assembly,2014
A/RES/69/171,United Nations Human Rights Training and Documentation Centre for South-West Asia and the Arab Region : resolution / adopted by the General Assembly,2014
A/RES/69/170,International Albinism Awareness Day : resolution / adopted by the General Assembly,2014
A/RES/69/178,Promotion of a democratic and equitable international order : resolution / adopted by the General Assembly,2014
A/RES/69/180,Human rights and unilateral coercive measures : resolution / adopted by the General Assembly,2014
A/RES/69/176,Promotion of peace as a vital requirement for the full enjoyment of all human rights by all : resolution / adopted by the General Assembly,2014
A/RES/69/182,"Extrajudicial, summary or arbitrary executions : resolution / adopted by the General Assembly",2014
A/RES/69/173,Globalization and its impact on the full enjoyment of all human rights : resolution / adopted by the General Assembly,2014
A/RES/69/181,The right to development : resolution / adopted by the General Assembly,2014
A/RES/68/241,United Nations Human Rights Training and Documentation Centre for South-West Asia and the Arab Region : resolution / adopted by the General Assembly,2013
A/RES/68/175,Promotion of a democratic and equitable international order : resolution / adopted by the General Assembly,2013
A/RES/68/168,Globalization and its impact on the full enjoyment of all human rights : resolution / adopted by the General Assembly,2013
A/RES/68/162,Human rights and unilateral coercive measures : resolution / adopted by the General Assembly,2013
A/RES/68/161,Promotion of equitable geographical distribution in the membership of the human rights treaty bodies : resolution / adopted by the General Assembly,2013
A/RES/68/159,Human rights and cultural diversity : resolution / adopted by the General Assembly,2013
A/RES/68/158,The right to development : resolution / adopted by the General Assembly,2013
A/RES/67/176,Moratorium on the use of the death penalty : resolution / adopted by the General Assembly,2012
A/RES/67/175,Promotion of a democratic and equitable international order : resolution / adopted by the General Assembly,2012
A/RES/67/173,Promotion of peace as a vital requirement for the full enjoyment of all human rights by all : resolution / adopted by the General Assembly,2012
A/RES/67/171,The right to development : resolution / adopted by the General Assembly,2012
A/RES/67/170,Human rights and unilateral coercive measures : resolution / adopted by the General Assembly,2012
A/RES/67/168,"Extrajudicial, summary or arbitrary executions : resolution / adopted by the General Assembly",2012
A/RES/67/165,Globalization and its impact on the full enjoyment of all human rights : resolution / adopted by the General Assembly,2012
A/RES/67/162,United Nations Human Rights Training and Documentation Centre for South-West Asia and the Arab Region : resolution / adopted by the General Assembly,2012
A/RES/66/155,The right to development : resolution / adopted by the General Assembly,2011
A/RES/66/159,Promotion of a democratic and equitable international order : resolution / adopted by the General Assembly,2011
A/RES/66/156,Human rights and unilateral coercive measures : resolution / adopted by the General Assembly,2011
A/RES/66/161,Globalization and its impact on the full enjoyment of all human rights : resolution / adopted by the General Assembly,2011
A/RES/66/154,Human rights and cultural diversity : resolution / adopted by the General Assembly,2011
A/RES/66/153,Promotion of equitable geographical distribution in the membership of the human rights treaty bodies : resolution / adopted by the General Assembly,2011
A/RES/65/224,Combating defamation of religions : resolution / adopted by the General Assembly,2010
A/RES/65/223,Promotion of a democratic and equitable international order : resolution / adopted by the General Assembly,2010
A/RES/65/222,Promotion of peace as a vital requirement for the full enjoyment of all human rights by all : resolution / adopted by the General Assembly,2010
A/RES/65/217,Human rights and unilateral coercive measures : resolution / adopted by the General Assembly,2010
A/RES/65/219,The right to development : resolution / adopted by the General Assembly,2010
A/RES/65/216,Globalization and its impact on the full enjoyment of all human rights : resolution / adopted by the General Assembly,2010
A/RES/65/208,"Extrajudicial, summary or arbitrary executions : resolution / adopted by the General Assembly",2010
A/RES/65/206,Moratorium on the use of the death penalty : resolution / adopted by the General Assembly,2010
A/RES/64/174,Human rights and cultural diversity : resolution / adopted by the General Assembly,2009
A/RES/64/173,Promotion of equitable geographical distribution in the membership of the human rights treaty bodies : resolution / adopted by the General Assembly,2009
A/RES/64/172,The right to development : resolution / adopted by the General Assembly,2009
A/RES/64/170,Human rights and unilateral coercive measures : resolution / adopted by the General Assembly,2009
A/RES/64/160,Globalization and its impact on the full enjoyment of all human rights : resolution / adopted by the General Assembly,2009
A/RES/64/157,Promotion of a democratic and equitable international order : resolution / adopted by the General Assembly,2009
A/RES/64/156,Combating defamation of religions : resolution / adopted by the General Assembly,2009
A/RES/63/189,Promotion of a democratic and equitable international order : resolution / adopted by the General Assembly,2008
A/RES/63/188,Respect for the right to universal freedom of travel and the vital importance of family reunification : resolution / adopted by the General Assembly,2008
A/RES/63/187,The right to food : resolution / adopted by the General Assembly,2008
A/RES/63/182,"Extrajudicial, summary or arbitrary executions : resolution / adopted by the General Assembly",2008
A/RES/63/179,Human rights and unilateral coercive measures : resolution / adopted by the General Assembly,2008
A/RES/63/178,The right to development : resolution / adopted by the General Assembly,2008
A/RES/63/176,Globalization and its impact on the full enjoyment of all human rights : resolution / adopted by the General Assembly,2008
A/RES/63/171,Combating defamation of religions : resolution / adopted by the General Assembly,2008
A/RES/63/168,Moratorium on the use of the death penalty : resolution / adopted by the General Assembly,2008
A/RES/63/167,Equitable geographical distribution in the membership of the human rights treaty bodies : resolution / adopted by the General Assembly,2008
A/RES/62/166,Respect for the purposes and principles contained in the Charter of the United Nations to achieve international cooperation in promoting and encouraging respect for human rights and for fundamental freedoms and in solving international problems of a humanitarian character : resolution / adopted by the General Assembly,2007
A/RES/62/164,The right to food : resolution / adopted by the General Assembly,2007
A/RES/62/163,Promotion of peace as a vital requirement for the full enjoyment of all human rights by all : resolution / adopted by the General Assembly,2007
A/RES/62/162,Human rights and unilateral coercive measures : resolution / adopted by the General Assembly,2007
A/RES/62/161,The right to development : resolution / adopted by the General Assembly,2007
A/RES/62/154,Combating defamation of religions : resolution / adopted by the General Assembly,2007
A/RES/62/151,Globalization and its impact on the full enjoyment of all human rights : resolution / adopted by the General Assembly,2007
A/RES/62/150,Strengthening the role of the United Nations in enhancing the effectiveness of the principle of periodic and genuine elections and the promotion of democratization : resolution / adopted by the General Assembly,2007
A/RES/62/149,Moratorium on the use of the death penalty : resolution / adopted by the General Assembly,2007
A/RES/61/173,"Extrajudicial, summary or arbitrary executions : resolution / adopted by the General Assembly",2006
A/RES/61/170,Human rights and unilateral coercive measures : resolution / adopted by the General,2006
A/RES/61/169,The right to development : resolution / adopted by the General Assembly,2006
A/RES/61/166,Promotion of equitable and mutually respectful dialogue on human rights : resolution / adopted by the General Assembly,2006
A/RES/61/164,Combating defamation of religions : resolution / adopted by the General Assembly,2006
A/RES/61/163,The right to food : resolution / adopted by the General Assembly,2006
A/RES/61/162,Respect for the right of universal freedom of travel and the vital importance of family reunification : resolution / adopted by the General Assembly,2006
A/RES/61/160,Promotion of a democratic and equitable international order : resolution / adopted by the General Assembly,2006
A/RES/61/159,Composition of the staff of the Office of the United Nations High Commissioner for Human Rights : resolution / adopted by the General Assembly,2006
A/RES/61/156,Globalization and its impact on the full enjoyment of all human rights : resolution / adopted by the General Assembly,2006
A/RES/61/154,The human rights situation arising from the recent Israeli military operations in Lebanon : resolution / adopted by the General Assembly,2006
A/RES/60/165,The right to food : resolution / adopted by the General Assembly,2005
A/RES/60/164,Respect for the principles of national sovereignty and diversity of democratic systems in electoral processes as an important element for the promotion and protection of human rights : resolution / adopted by the General Assembly,2005
A/RES/60/163,Promotion of peace as a vital requirement for the full enjoyment of all human rights by all : resolution / adopted by the General Assembly,2005
A/RES/60/162,Strengthening the role of the United Nations in enhancing the effectiveness of the principle of periodic and genuine elections and the promotion of democratization : resolution / adopted by the General Assembly,2005
A/RES/60/157,The right to development : resolution / adopted by the General Assembly,2005
A/RES/60/155,Human rights and unilateral coercive measures : resolution / adopted by the General Assembly,2005
A/RES/60/152,Globalization and its impact on the full enjoyment of all human rights : resolution / adopted by the General Assembly,2005
A/RES/60/150,Combating defamation of religions : resolution / adopted by the General Assembly,2005
A/RES/59/204,Respect for the purposes and principles contained in the Charter of the United Nations to achieve international cooperation in promoting and encouraging respect for human rights and for fundamental freedoms and in solving international problems of a humanitarian character : resolution / adopted by the General Assemly,2004
A/RES/59/203,Respect for the right to universal freedom of travel and the vital importance of family reunification : resolution / adopted by the General Assemly,2004
A/RES/59/202,The right to food : resolution / adopted by the General Assemly,2004
A/RES/59/201,"Enhancing the role of regional, subregional and other organizations and arrangements in promoting and consolidating democracy : resolution / adopted by the General Assemly",2004
A/RES/59/199,Elimination of all forms of religious intolerance : resolution / adopted by the General Assemly,2004
A/RES/59/197,"Extrajudicial, summary or arbitrary executions : resolution / adopted by the General Assemly",2004
A/RES/59/188,Human rights and unilateral coercive measures : resolution / adopted by the General Assemly,2004
A/RES/59/195,Human rights and terrorism : resolution / adopted by the General Assemly,2004
A/RES/59/193,Promotion of a democratic and equitable international order : resolution / adopted by the General Assemly,2004
A/RES/59/185,The right to development : resolution / adopted by the General Assemly,2004
A/RES/59/184,Globalization and its impact on the full enjoyment of all human rights : resolution / adopted by the General Assembly,2004
A/RES/58/193,Globalization and its impact on the full enjoyment of all human rights : resolution / adopted by the General Assembly,2003
A/RES/58/192,Promotion of peace as a vital requirement for the full enjoyment of all human rights by all : resolution / adopted by the General Assembly,2003
A/RES/58/189,Respect for the principles of national sovereignty and diversity of democratic systems in electoral processes as an important element for the promotion and protection of human rights : resolution / adopted by the General Assembly,2003
A/RES/58/188,Respect for the purposes and principles contained in the Charter of the UN  to achieve international cooperation in promoting and encouraging respect for human rights and for fundamental freedoms and in solving international problems of a humanitarian character : resolution / adopted by the General Assembly,2003
A/RES/58/187,Protection of human rights and fundamental freedoms while countering terrorism : resolution / adopted by the General Assembly,2003
A/RES/58/186,The right to food : resolution / adopted by the General Assembly,2003
A/RES/58/184,Elimination of all forms of religious intolerance : resolution / adopted by the General Assembly,2003
A/RES/58/180,Strengthening the role of the UN in enchancing the effectiveness of the principle of periodic and genuine elections and the promotion of democratization : resolution / adopted by the General Assembly,2003
A/RES/58/179,"Access to medication in the context of pandemics such as HIV/AIDS, tuberculosis and malaria : resolution / adopted by the General Assembly",2003
A/RES/58/174,Human rights and terrorism : resolution / adopted by the General Assembly,2003
A/RES/58/173,The right of everyone to the enjoyment of the highest attainable standard of physical and mental health : resolution / adopted by the General Assembly,2003
A/RES/58/172,The right to development : resolution / adopted by the General Assembly,2003
A/RES/58/171,Human rights and unilateral coercive measures : resolution / adopted by the General Assembly,2003
A/RES/57/228A,Khmer Rouge trials : resolution / adopted by the General Assembly,2002
A/RES/57/227,Respect for the right to universal freedom of travel and the vital importance of family reunification : resolution / adopted by the General Assembly,2002
A/RES/57/226,The right to food : resolution / adopted by the General Assembly,2002
A/RES/57/223,The Right to Development : resolution / adopted by the General Assembly,2002
A/RES/57/222,Human rights and unilateral coercive measures : resolution / adopted by the General Assembly,2002
A/RES/57/217,Respect for the purposes and principles contained in the Charter of the United Nations to achieve international cooperation in promoting and encouraging respect for human rights and for fundamental freedoms and in solving international problems of a humanitarian character : resolution / adopted by the General Assembly,2002
A/RES/57/216,Promotion of the right of peoples to peace : resolution / adopted by the General Assembly,2002
A/RES/57/214,"Extrajudicial, summary or arbitrary executions : resolution / adopted by the General Assembly",2002
A/RES/57/213,Promotion of a democratic and equitable international order : resolution / adopted by the General Assembly,2002
A/RES/57/205,Globalization and its impact on the full enjoyment of all human rights : resolution / adopted by the General Assembly,2002
A/RES/56/165,Globalization and its impact on the full enjoyment of all human rights : resolution / adopted by the General Assembly,2001
A/RES/56/160,Human rights and terrorism : resolution / adopted by the General Assembly,2001
A/RES/56/159,Strengthening the role of the United Nations in enhancing the effectiveness of the principle of periodic and genuine elections and the promotion of democratization : resolution / adopted by the General Assembly,2001
A/RES/56/155,The right to food : resolution / adopted by the General Assembly,2001
A/RES/56/154,Respect for the principles of national sovereignty and non-interference in the internal affairs of States in their electoral processes as an important element for the promotion and protection of human rights : resolution / adopted by the General Assembly,2001
A/RES/56/152,Respect for the purposes and principles contained in the Charter of the United Nations to achieve international cooperation in promoting and encouraging respect for human rights and for fundamental freedoms and in solving international problems of humanitarian character : resolution / adopted by the General Assembly,2001
A/RES/56/151,Promotion of a democratic and equitable international order : resolution / adopted by the General Assembly,2001
A/RES/56/150,The right to development : resolution / adopted by the General Assembly,2001
A/RES/56/148,Human rights and unilateral coercive measures : resolution / adopted by the General Assembly,2001
A/RES/55/110,Human rights and unilateral coercive measures : resolution / adopted by the General Assembly,2000
A/RES/55/107,Promotion of a democratic and equitable international order : resolution / adopted by the General Assembly,2000
A/RES/55/102,Globalization and its impact on the full enjoyment of all human rights : resolution / adopted by the General Assembly,2000
A/RES/55/101,Respect for the purposes and principles contained in the Charter of the United Nations to achieve international cooperation in promoting and encouraging respect for human rights and for fundamental freedoms and in solving international problems of a humanitarian character : resolution / adopted by the General Assembly,2000
A/RES/55/100,Respect for the right to universal freedom of travel and the vital importance of family reunification : resolution / adopted by the General Assembly,2000
A/RES/55/96,Promoting and consolidating democracy : resolution / adopted by the General Assembly,2000
A/RES/55/92,Protection of migrants : resolution / adopted by the General Assembly,2000
A/RES/54/175,The right to development : resolution / adopted by the General Assembly,1999
A/RES/54/173,Strengthening the role of the United Nations in enhancing the effectiveness of the principle of periodic and genuine elections and the promotion of democratization : resolution / adopted by the General Assembly,1999
A/RES/54/172,Human rights and unilateral coercive measures : resolution / adopted by the General Assembly,1999
A/RES/54/169,Respect for the right to universal freedom of travel and the vital importance of family reunification : resolution / adopted by the General Assembly,1999
A/RES/54/168,Respect for the principles of national sovereignty and non-interference in the internal affairs of States in their electoral processes : resolution / adopted by the General Assembly,1999
A/RES/54/165,Globalization and its impact on the full enjoyment of all human rights : resolution / adopted by the General Assembly,1999
A/RES/54/164,Human rights and terrorism : resolution / adopted by the General Assembly,1999
A/RES/53/155,Right to development : resolution / adopted by the General Assembly,1998
A/RES/53/143,Respect for the right to universal freedom of travel and the vital importance of family reunification : resolution / adopted by the General Assembly,1998
A/RES/53/141,Human rights and unilateral coercive measures: resolution / adopted by the General Assembly,1998
A/RES/52/136,Right to development : resolution / adopted by the General Assembly,1997
A/RES/52/133,Human rights and terrorism : resolution / adopted by the General Assembly,1997
A/RES/52/131,"Strengthening of United Nations action in the field of human rights through the promotion of international cooperation and the importance of non-selectivity, impartiality and objectivity : resolution / adopted by the General Assembly",1997
A/RES/52/129,Strengthening the role of the United Nations in enhancing the effectiveness of the principle of periodic and genuine elections and the promotion of democratization : resolution / adopted by the General Assembly,1997
A/RES/52/121,Respect for the right to universal freedom of travel and the vital importance of family reunification : resolution / adopted by the General Assembly,1997
A/RES/52/120,Human rights and unilateral coercive measures : resolution / adopted by the General Assembly,1997
A/RES/52/119,Respect for the principles of national sovereignty and non-interference in the internal affairs of States in their electoral processes : resolution / adopted by the General Assembly,1997
A/RES/51/103,Human rights and unilateral coercive measures : resolution / adopted by the General Assembly,1996
A/RES/51/100,Enhancement of international cooperation in the field of human rights : resolution / adopted by the General Assembly,1996
A/RES/51/89,Respect for the right to universal freedom of travel and the vital importance of family reunification : resolution / adopted by the General Assembly,1996
A/RES/50/185,Strengthening the role of the United Nations in enhancing the effectiveness of the principle of periodic and genuine elections and the promotion of democratization : resolution / adopted by the General Assembly,1995
A/RES/50/175,Respect for the right to universal freedom of travel and the vital importance of family reunification : resolution / adopted by the General Assembly,1995
A/RES/50/172,Respect for the principles of national sovereignty and non-interference in the internal affairs of States in their electoral processes : resolution / adopted by the General Assembly,1995
A/RES/49/190,Strengthening the role of the United Nations in enhancing the effectiveness of the principle of periodic and genuine elections and the promotion of democratization : resolution / adopted by the General Assembly,1994
A/RES/49/186,Alternative approaches and ways and means within the United Nations System for improving the effective enjoyment of human rights and fundamental freedoms : resolution / adopted by the General Assembly,1994
A/RES/49/182,Respect for the universal freedom of travel and the vital importance of family reunification : resolution / adopted by the General Assembly,1994
A/RES/49/180,Respect for the principles of national sovereignty and non-interference in the internal affairs of States in their electoral process : resolution / adopted by the General Assembly,1994
A/RES/48/131,Enhancing the effectiveness of the principle of periodic and genuine elections : resolution / adopted by the General Assembly,1993
A/RES/48/124,Respect for the principles of national sovereignty and non-interference in the internal affairs of States in their electoral processes : resolution / adopted by the General Assembly,1993
A/RES/48/123,Alternative approaches and ways and means within the United Nations System for improving the effective enjoyment of human rights and fundamental freedoms : resolution / adopted by the General Assembly,1993
A/RES/42/119,Alternative approaches and ways and means within the United Nations System for improving the effective enjoyment of human rights and fundamental freedoms : resolution / adopted by the General Assembly,1987
A/RES/42/115,The impact of property on the enjoyment of human rights and fundamental freedoms : resolution / adopted by the General Assembly,1987
A/RES/76/78,Operations of the United Nations Relief and Works Agency for Palestine Refugees in the Near East : resolution / adopted by the General Assembly,2021
A/RES/76/77,Assistance to Palestine refugees : resolution / adopted by the General Assembly,2021
A/RES/76/79,Palestine refugees' properties and their revenues : resolution / adopted by the General Assembly,2021
A/RES/75/95,Palestine refugees' properties and their revenues : resolution / adopted by the General Assembly,2020
A/RES/75/93,Assistance to Palestine refugees : resolution / adopted by the General Assembly,2020
A/RES/75/94,Operations of the United Nations Relief and Works Agency for Palestine Refugees in the Near East : resolution / adopted by the General Assembly,2020
A/RES/74/86,Palestine refugees' properties and their revenues : resolution / adopted by the General Assembly,2019
A/RES/74/84,Persons displaced as a result of the June 1967 and subsequent hostilities : resolution / adopted by the General Assembly,2019
A/RES/74/83,Assistance to Palestine refugees : resolution / adopted by the General Assembly,2019
A/RES/74/85,Operations of the United Nations Relief and Works Agency for Palestine Refugees in the Near East : resolution / adopted by the General Assembly,2019
A/RES/73/93,Persons displaced as a result of the June 1967 and subsequent hostilities : resolution / adopted by the General Assembly,2018
A/RES/73/95,Palestine refugees' properties and their revenues : resolution / adopted by the General Assembly,2018
A/RES/73/94,Operations of the United Nations Relief and Works Agency for Palestine Refugees in the Near East : resolution / adopted by the General Assembly,2018
A/RES/73/92,Assistance to Palestine refugees : resolution / adopted by the General Assembly,2018
A/RES/72/80,Assistance to Palestine refugees : resolution / adopted by the General Assembly,2017
A/RES/72/81,Persons displaced as a result of the June 1967 and subsequent hostilities : resolution / adopted by the General Assembly,2017
A/RES/72/83,Palestine refugees' properties and their revenues : resolution / adopted by the General Assembly,2017
A/RES/72/82,Operations of the United Nations Relief and Works Agency for Palestine Refugees in the Near East : resolution / adopted by the General Assembly,2017
A/RES/71/94,Palestine refugees' properties and their revenues : resolution / adopted by the General Assembly,2016
A/RES/71/91,Assistance to Palestine refugees : resolution / adopted by the General Assembly,2016
A/RES/71/93,Operations of the United Nations Relief and Works Agency for Palestine Refugees in the Near East : resolution / adopted by the General Assembly,2016
A/RES/71/92,Persons displaced as a result of the June 1967 and subsequent hostilities : resolution / adopted by the General Assembly,2016
A/RES/70/85,Operations of the United Nations Relief and Works Agency for Palestine Refugees in the Near East : resolution / adopted by the General Assembly,2015
A/RES/70/86,Palestine refugees' properties and their revenues : resolution / adopted by the General Assembly,2015
A/RES/70/84,Persons displaced as a result of the June 1967 and subsequent hostilities : resolution / adopted by the General Assembly,2015
A/RES/70/83,Assistance to Palestine refugees : resolution / adopted by the General Assembly,2015
A/RES/69/87,Persons displaced as a result of the June 1967 and subsequent hostilities : resolution / adopted by the General Assembly,2014
A/RES/69/86,Assistance to Palestine refugees : resolution / adopted by the General Assembly,2014
A/RES/69/88,Operations of the United Nations Relief and Works Agency for Palestine Refugees in the Near East : resolution / adopted by the General Assembly,2014
A/RES/69/89,Palestine refugees' properties and their revenues : resolution / adopted by the General Assembly,2014
A/RES/68/79,Palestine refugees' properties and their revenues : resolution / adopted by the General Assembly,2013
A/RES/68/78,Operations of the United Nations Relief and Works Agency for Palestine Refugees in the Near East : resolution / adopted by the General Assembly,2013
A/RES/68/77,Persons displaced as a result of the June 1967 and subsequent hostilities : resolution / adopted by the General Assembly,2013
A/RES/68/76,Assistance to Palestine refugees : resolution / adopted by the General Assembly,2013
A/RES/67/117,Palestine refugees' properties and their revenues : resolution / adopted by the General Assembly,2012
A/RES/67/116,Operations of the United Nations Relief and Works Agency for Palestine Refugees in the Near East : resolution / adopted by the General Assembly,2012
A/RES/67/115,Persons displaced as a result of the June 1967 and subsequent hostilities : resolution / adopted by the General Assembly,2012
A/RES/67/114,Assistance to Palestine refugees : resolution / adopted by the General Assembly,2012
A/RES/66/73,Persons displaced as a result of the June 1967 and subsequent hostilities : resolution / adopted by the General Assembly,2011
A/RES/66/72,Assistance to Palestine refugees : resolution / adopted by the General Assembly,2011
A/RES/66/75,Palestine refugees' properties and their revenues : resolution / adopted by the General Assembly,2011
A/RES/66/74,Operations of the United Nations Relief and Works Agency for Palestine Refugees in the Near East : resolution / adopted by the General Assembly,2011
A/RES/65/272,Report of the Secretary-General on the strengthening of the management capacity of the United Nations Relief and Works Agency for Palestine Refugees in the Near East : resolution / adopted by the General Assembly,2011
A/RES/65/99,Persons displaced as a result of the June 1967 and subsequent hostilities : resolution / adopted by the General Assembly,2010
A/RES/65/101,Palestine refugees' properties and their revenues : resolution / adopted by the General Assembly,2010
A/RES/65/100,Operations of the United Nations Relief and Works Agency for Palestine Refugees in the Near East : resolution / adopted by the General Assembly,2010
A/RES/65/98,Assistance to Palestine refugees : resolution / adopted by the General Assembly,2010
A/RES/64/90,Palestine refugees' properties and their revenues : resolution / adopted by the General Assembly,2009
A/RES/64/89,Operations of the United Nations Relief and Works Agency for Palestine Refugees in the Near East : resolution / adopted by the General Assembly,2009
A/RES/64/88,Persons displaced as a result of the June 1967 and subsequent hostilities : resolution / adopted by the General Assembly,2009
A/RES/64/87,Assistance to Palestine refugees : resolution / adopted by the General Assembly,2009
A/RES/63/93,Operations of the United Nations Relief and Works Agency for Palestine Refugees in the Near East : resolution / adopted by the General Assembly,2008
A/RES/63/94,Palestine refugees' properties and their revenues : resolution / adopted by the General Assembly,2008
A/RES/63/92,Persons displaced as a result of the June 1967 and subsequent hostilities : resolution / adopted by the General Assembly,2008
A/RES/63/91,Assistance to Palestine refugees : resolution / adopted by the General Assembly,2008
A/RES/62/105,Palestine refugees' properties and their revenues : resolution / adopted by the General Assembly,2007
A/RES/62/104,Operations of the United Nations Relief and Works Agency for Palestine Refugees in the Near East : resolution / adopted by the General Assembly,2007
A/RES/62/103,Persons displaced as a result of the June 1967 and subsequent hostilities : resolution / adopted by the General Assembly,2007
A/RES/62/102,Assistance to Palestine refugees : resolution / adopted by the General Assembly,2007
A/RES/61/115,Palestine refugees' properties and their revenues : resolution / adopted by the General Assembly,2006
A/RES/61/114,Operations of the United Nations Relief and Works Agency for Palestine Refugees in the Near East : resolution / adopted by the General Assembly,2006
A/RES/61/113,Persons displaced as a result of the June 1967 and subsequent hostilities : resolution / adopted by the General Assembly,2006
